id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,valid_coords,price_per_night,days_since_last_review,has_recent_review,host_experience_level,high_availability,review_month,review_year,business_friendly,license_status,area
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home,181.0,2,465,2024-11-17,2.48,1,224,49,STR-0006854,True,90.5,115.0,False,New Host,True,11.0,2024.0,True,Licensed,Northern
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home,235.0,30,110,2017-08-06,0.58,1,365,0,,True,7.833333333333333,2775.0,False,New Host,True,8.0,2017.0,False,Unknown,Southern
8339,Historic Alamo Square Victorian,24215,Rosmarie,,Western Addition,37.77455,-122.43502,Entire home,485.0,9,28,2019-06-28,0.15,1,363,0,STR-0000264,True,53.888888888888886,2084.0,False,New Host,True,6.0,2019.0,False,Licensed,Northern
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,119.0,1,34,2024-09-30,0.19,2,365,11,2022-011003STR,True,119.0,163.0,False,Casual Host,True,9.0,2024.0,True,Unknown,Eastern
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79224,-122.41649,Entire home,100.0,30,18,2015-05-17,0.11,1,364,0,,True,3.3333333333333335,3587.0,False,New Host,True,5.0,2015.0,False,Unknown,Central
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76133,-122.4287,Private room,99.0,3,505,2024-11-06,2.79,1,31,33,STR-0000057,True,33.0,126.0,False,New Host,False,11.0,2024.0,True,Licensed,Other
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,116.0,2,487,2024-11-07,3.08,1,49,19,STR-0000094,True,58.0,125.0,False,New Host,False,11.0,2024.0,True,Licensed,Northern
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home,200.0,30,125,2024-08-10,0.7,1,364,1,City registration pending,True,6.666666666666667,214.0,False,New Host,True,8.0,2024.0,False,Pending,Central
24111,Charming 2 Bd Rm Ocean View,96951,Jason,,Parkside,37.73807,-122.47554,Entire home,100.0,120,0,,0.0,1,365,0,,True,0.8333333333333334,,False,New Host,True,,,False,Unknown,Western
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,Cathryn,,Potrero Hill,37.75675582885742,-122.4001693725586,Private room,160.0,2,398,2024-11-11,2.25,2,76,21,STR-0000036,True,80.0,121.0,False,Casual Host,False,11.0,2024.0,True,Licensed,Eastern
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home,209.0,5,480,2024-11-17,2.69,2,55,37,Pending Application,True,41.8,115.0,False,Casual Host,False,11.0,2024.0,True,Pending,Northern
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.73981,-122.43073,Private room,165.0,5,76,2024-10-05,0.74,1,346,8,STR-0002528,True,33.0,158.0,False,New Host,True,10.0,2024.0,True,Licensed,Other
26488,Embarcadero High Rise with Views!,112300,Micheal,,Financial District,37.79113,-122.39168,Entire home,1000.0,360,48,2012-06-21,0.27,1,365,0,,True,2.7777777777777777,4647.0,False,New Host,True,6.0,2012.0,False,Unknown,Central
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77851,-122.504,Entire home,200.0,2,141,2024-11-30,0.81,1,318,14,STR-0001135,True,100.0,102.0,False,New Host,True,11.0,2024.0,True,Licensed,Western
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home,180.0,30,93,2019-09-29,0.53,1,289,0,City registration pending,True,6.0,1991.0,False,New Host,True,9.0,2019.0,False,Pending,Southern
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home,290.0,1,791,2024-11-30,4.57,2,355,42,STR-0000073,True,290.0,102.0,False,Casual Host,True,11.0,2024.0,True,Licensed,Eastern
