id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,181,2,465,2024-11-17,2.48,1,224,49,STR-0006854
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,110,2017-08-06,0.58,1,365,0,
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,,32,10,2023-07-30,0.08,19,362,0,
8339,Historic Alamo Square Victorian,24215,Rosmarie,,Western Addition,37.77455,-122.43502,Entire home/apt,485,9,28,2019-06-28,0.15,1,363,0,STR-0000264
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,119,1,34,2024-09-30,0.19,2,365,11,2022-011003STR
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79224,-122.41649,Entire home/apt,100,30,18,2015-05-17,0.11,1,364,0,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,,32,7,2022-06-11,0.04,19,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,,32,6,2024-07-29,0.04,19,365,1,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76133,-122.4287,Private room,99,3,505,2024-11-06,2.79,1,31,33,STR-0000057
18231,Loft-like Apt./Garden,70224,Arlene     Leon,,Noe Valley,37.74916,-122.42971,Entire home/apt,,30,72,2024-08-17,0.41,1,0,3,
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,116,2,487,2024-11-07,3.08,1,49,19,STR-0000094
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,200,30,125,2024-08-10,0.70,1,364,1,City registration pending
24111,Charming 2 Bd Rm Ocean View,96951,Jason,,Parkside,37.73807,-122.47554,Entire home/apt,100,120,0,,,1,365,0,
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,Cathryn,,Potrero Hill,37.75675582885742,-122.4001693725586,Private room,160,2,398,2024-11-11,2.25,2,76,21,STR-0000036
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,209,5,480,2024-11-17,2.69,2,55,37,Pending Application
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.73981,-122.43073,Private room,165,5,76,2024-10-05,0.74,1,346,8,STR-0002528
26488,Embarcadero High Rise with Views!,112300,Micheal,,Financial District,37.79113,-122.39168,Entire home/apt,1000,360,48,2012-06-21,0.27,1,365,0,
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77851,-122.504,Entire home/apt,200,2,141,2024-11-30,0.81,1,318,14,STR-0001135
32414,"Cozy, Sunny and Private Space",140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,180,30,93,2019-09-29,0.53,1,289,0,City registration pending
33578,Potrero Hill Garden Lookout,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,290,1,791,2024-11-30,4.57,2,355,42,STR-0000073
38935,Sunny Room with Private Bathroom – The Mission,167046,Nani,,Mission,37.74907,-122.41961,Private room,,3,45,2023-12-05,0.26,2,0,1,2023-004141STR
39418,"Comfortable Home Base, Bernal Heights, great area!",169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,89,30,27,2023-12-09,0.17,1,249,1,
40092,Cute Private Apt in the hip Mission,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,114,30,107,2024-08-24,0.62,2,178,1,
41055,Quiet Cozy Castro Cottage,178043,Chas,,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,140,4,88,2024-11-15,0.51,2,31,2,2023-009640STR
41423,Guest Cottage - SF,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,148,30,159,2024-08-28,0.91,1,365,2,30 Day Minimum Stay Required
41609,Spacious Quiet SF Downtown Work-From-Home Retreat,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,178,30,30,2024-03-23,0.18,1,39,1,
42060,Duboce park Edwardian apartment.,183862,Cole,,Western Addition,37.77091,-122.43208,Entire home/apt,130,90,8,2024-04-28,0.05,1,89,1,
44032,The Mission-100% Private,98733,David + Tina,,Mission,37.75229,-122.41169,Entire home/apt,69,30,302,2024-11-14,1.74,1,90,1,
45299,Private Castro Studio with king sized bed,178043,Chas,,Castro/Upper Market,37.76122,-122.43297,Entire home/apt,91,3,165,2024-11-12,0.95,2,34,9,City Registration Pending
