PRIMKEY,COUNTRY,FIPSCODE,COWCODE,CONTCODE,SITENUM,NAME,LAT,LONG
AG001DIA,Algeria,AG,615,4,1,Djebel - Aberraz,26.63,0.50
AG002DIA,Algeria,AG,615,4,2,Bled El Mass,26.60,0.65
AO001DIA,Angola,AO,540,4,1,Cafunfo,-8.77,18.00
AO002DIA,Angola,AO,540,4,2,Dundo,-7.35,20.82
AO003DIA,Angola,AO,540,4,3,Catoca,-9.18,20.47
AO004DIA,Angola,AO,540,4,4,Andrade,-7.70,21.37
AO005DIA,Angola,AO,540,4,5,Lucapa,-8.42,20.75
AO006DIA,Angola,AO,540,4,6,Calonda,-8.44,20.55
AO007DIA,Angola,AO,540,4,7,Mufuto,-11.30,20.82
AO008DIA,Angola,AO,540,4,8,Luo (DiamondWorks),-9.12,20.38
AO009DIA,Angola,AO,540,4,9,Luo (SouthernEra),-9.00,20.43
AO010DIA,Angola,AO,540,4,10,Cuango,-9.00,18.00
AO011DIA,Angola,AO,540,4,11,Luzamba,-9.12,18.05
AO012DIA,Angola,AO,540,4,12,Yetwene,-8.08,20.50
AO013DIA,Angola,AO,540,4,13,Luarica,-8.42,20.75
AO014DIA,Angola,AO,540,4,14,Luremo,-8.52,17.83
AO015DIA,Angola,AO,540,4,15,Lumbala Nguimbo,-14.10,21.45
AO016DIA,Angola,AO,540,4,16,Alto Cuilo,-13.43,18.87
AO017DIA,Angola,AO,540,4,17,Muriege,-9.90,21.22
AO018DIA,Angola,AO,540,4,18,Medio Kwanza,-13.43,20.73
AO019DIA,Angola,AO,540,4,19,Camafuca - Camazambo,-8.64,20.87
AO020DIA,Angola,AO,540,4,20,Soma Kwanza,-13.50,17.77
AO021DIA,Angola,AO,540,4,21,Tejok,-7.35,20.82
AO022DIA,Angola,AO,540,4,22,Lucanga,-6.38,15.73
AO023DIA,Angola,AO,540,4,23,Camajico,-9.12,20.38
AO024DIA,Angola,AO,540,4,24,Camaxia,-9.12,20.38
AO025DIA,Angola,AO,540,4,25,Cemetue,-8.49,20.83
AO026DIA,Angola,AO,540,4,26,Caixea,0.00,0.00
AO027DIA,Angola,AO,540,4,27,Luembe,-8.57,20.57
AO028DIA,Angola,AO,540,4,28,Chitotolo,-7.78,21.31
AO029DIA,Angola,AO,540,4,29,Cassanguidi,-7.59,21.00
