GHGRP ID,Observation Date,Average Landfill Point Source Emission (kg/h),Average Landfill Point Source Emission Uncertainty (kg/h),Average Emission Rate over all overpasses (kg/h),Average Uncertainty Rate over all overpasses (kg/h),Average reported GHGRP emissions (METRIC TONS CO2e),Number of days landfill was flown,Number of days where point sources were detected ,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20170618t182621-C,164.0,103.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75287,-121.65538,ang20170618t182621-D,222.0,120.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20170618t182621-E,205.0,111.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75178,-121.65484,ang20170618t182621-F,328.0,48.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75684,-121.65607,ang20170618t182621-H,579.0,92.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170618t182621-I,251.0,54.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.74877,-121.65478,ang20170618t183142-A,171.0,143.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20170618t183142-B,372.0,117.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20170618t183142-E,277.0,113.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75306,-121.65043,ang20170618t183142-F,277.0,113.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.7492,-121.65015,ang20170618t183142-G,45.0,25.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.74851,-121.65313,ang20170618t183142-H,50.0,28.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170620t194520-L,324.0,133.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20170620t194520-N,103.0,37.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20170620t194520-O,98.0,46.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171003t224906-A,77.0,35.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75359,-121.65752,ang20171003t224906-B,150.0,48.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75567,-121.65272,ang20171003t224906-C,219.0,46.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75645,-121.65736,ang20171003t224906-D,667.0,346.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75375,-121.65547,ang20171003t224906-G,219.0,46.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20171003t224906-H,219.0,46.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.74821,-121.65916,ang20171003t224906-I,154.0,24.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75517,-121.65536,ang20171006t184157-G,29.0,19.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75462,-121.65456,ang20171006t184157-H,32.0,23.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75703,-121.65263,ang20171006t184157-I,69.0,18.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75744,-121.64973,ang20171006t184157-J,127.0,26.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75704,-121.64866,ang20171006t184157-K,105.0,21.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75448,-121.65651,ang20171006t184157-M,39.0,29.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.75436,-121.6572,ang20171006t184157-N,92.0,36.0
