GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1005717,29.935453,-90.262612,GAO20211026t174729p0000-B,10151,5395
1007607,34.5948,-117.26764,ang20160911t174834-C,61,16
1007607,34.59453,-117.26808,ang20160911t174834-D,103,61
1007607,34.59165,-117.26715,ang20160911t174834-E,54,144
1003679,34.33066,-118.51342,ang20160911t213902-A,218,53
1004548,36.39318,-119.3792,ang20160916t202433-H,76,17
1004487,34.139082,-84.037301,GAO20220423t150922p0000-A,,
1005717,29.933796,-90.262095,GAO20211026t175710p0000-B,5978,2857
1004743,34.4051,-118.99399,ang20160930t211208-B,660,346
1004743,34.40428,-118.99849,ang20160930t211208-C,108,39
1004743,34.40428,-118.99849,ang20160930t213004-C,750,201
1002634,34.483,-120.12418,ang20160930t221645-A,152,82
1002634,34.48393,-120.1254,ang20160930t221645-B,137,62
1004743,34.40412,-118.99844,ang20160930t223905-A,574,106
1004743,34.4051,-118.99399,ang20160930t223905-B,375,204
1004743,34.40428,-118.99849,ang20160930t223905-C,568,121
1004743,34.40295,-118.99603,ang20160930t223905-D,600,209
1002107,33.71713,-117.70805,ang20161001t184552-A,93,28
1002107,33.72204,-117.69723,ang20161001t184552-B,104,61
1002107,33.72164,-117.70116,ang20161001t184552-C,94,31
1002107,33.71807,-117.70325,ang20161001t184552-D,64,21
1002107,33.71852,-117.70146,ang20161001t184552-E,442,184
1002107,33.72204,-117.69723,ang20161001t185608-A,89,26
1002107,33.72194,-117.6985,ang20161001t185608-B,125,33
1007112,37.49839,-122.40765,ang20170620t223221-A,3789,1055
1002107,33.71744,-117.70415,ang20161001t185608-C,67,17
1002107,33.71852,-117.70146,ang20161001t185608-D,57,20
1006149,35.5082,-119.40716,ang20161001t205456-A,148,27
1006149,35.5082,-119.40716,ang20161001t205820-A,482,161
1003679,34.32713,-118.51601,ang20161003t200520-A,1664,688
1003679,34.32601,-118.513,ang20161003t200520-B,1437,623
1003679,34.32601,-118.513,ang20161003t201042-A,389,222
1003679,34.32431,-118.50854,ang20161003t201042-B,751,267
1004850,40.966173,-82.485064,GAO20220720t141304p0000-B,,
1003679,34.32431,-118.50854,ang20161003t213256-A,288,95
1004011,37.9982,-121.93398,ang20161005t182145-A,494,135
1004011,37.99701,-121.93665,ang20161005t182145-B,187,73
1002320,33.94041,-117.83159,ang20161006t180917-A,95,48
1002320,33.93933,-117.82961,ang20161006t180917-B,30,12
1004856,39.269967,-84.59002,GAO20220722t161649p0000-D,,
1002320,33.93995,-117.84145,ang20161006t180917-C,96,29
1003679,34.33456,-118.51968,ang20170619t005425-A,3069,955
1002320,33.94179,-117.83706,ang20161006t181839-B,43,12
1003679,34.32423,-118.51581,ang20170309t191857-C,1399,842
1003679,34.3251,-118.51006,ang20170309t191857-D,696,439
1003679,34.32838,-118.51719,ang20170309t231950-E,314,124
1004743,34.40586,-118.99502,ang20170615t210701-A,349,200
1004743,34.4051,-118.99399,ang20170615t210701-B,320,120
1003679,34.32685,-118.51491,ang20170615t211644-A,63,36
1003679,34.33021,-118.51764,ang20170615t211644-B,34,14
1007345,38.21164,-121.96851,ang20170617t192417-A,401,201
1007345,38.21375,-121.96784,ang20170617t192417-B,64,68
1007345,38.21582,-121.96289,ang20170617t192417-C,77,36
1004011,38.00399,-121.93472,ang20170617t194950-A,341,68
1004011,37.99735,-121.9358,ang20170617t194950-B,214,36
1004011,37.99706,-121.93347,ang20170617t194950-C,292,85
1007668,38.16858,-122.56649,ang20170617t200737-B,324,107
1007668,38.16911,-122.56563,ang20170617t200737-C,406,83
1007668,38.1637,-122.56246,ang20170617t200737-E,227,29
1007668,38.16244,-122.5625,ang20170617t200737-F,206,26
1007969,41.307469,-82.173535,GAO20220721t140940p0000-B,,
1007668,38.1682,-122.56634,ang20170617t200737-G,389,44
1007040,37.75935,-121.72819,ang20170618t182621-B,80,8
1007699,37.75285,-121.65606,ang20170618t182621-C,164,103
1007699,37.75287,-121.65538,ang20170618t182621-D,222,120
1007699,37.75307,-121.65464,ang20170618t182621-E,205,111
1007699,37.75178,-121.65484,ang20170618t182621-F,328,48
1007699,37.75684,-121.65607,ang20170618t182621-H,579,92
1007699,37.75598,-121.65379,ang20170618t182621-I,251,54
1007040,37.76158,-121.72831,ang20170618t182621-L,80,8
1007040,37.75884,-121.72513,ang20170618t182621-M,318,37
1007040,37.7593,-121.72867,ang20170618t182621-N,164,45
1007040,37.76098,-121.7258,ang20170618t182621-O,366,31
1007699,37.74877,-121.65478,ang20170618t183142-A,171,143
1007699,37.7524,-121.65544,ang20170618t183142-B,372,117
1007699,37.75304,-121.6482,ang20170618t183142-E,277,113
1007699,37.75306,-121.65043,ang20170618t183142-F,277,113
1007699,37.7492,-121.65015,ang20170618t183142-G,45,25
1007699,37.74851,-121.65313,ang20170618t183142-H,50,28
1007112,37.50365,-122.40859,ang20170618t184938-A,969,601
1007112,37.49839,-122.40765,ang20170618t184938-B,912,279
1007112,37.49966,-122.40931,ang20170618t184938-C,581,338
1007112,37.50139,-122.4114,ang20170618t184938-D,404,136
1007112,37.50273,-122.40931,ang20170618t184938-E,659,407
1007112,37.50338,-122.41046,ang20170618t184938-F,1012,444
1006179,37.45981,-121.9449,ang20170618t192841-B,103,55
1006179,37.46139,-121.94201,ang20170618t192841-C,551,318
1006179,37.45919,-121.94718,ang20170618t192841-D,118,36
1006179,37.45825,-121.94126,ang20170618t193403-A,529,220
1006179,37.46,-121.94618,ang20170618t193403-C,359,141
1006179,37.46037,-121.94291,ang20170618t193403-D,625,259
1006179,37.45825,-121.94126,ang20170618t193403-F,597,206
1006179,37.45972,-121.93707,ang20170618t193403-G,2176,972
1006179,37.45853,-121.93962,ang20170618t193403-H,398,206
1006179,37.46,-121.94618,ang20170618t194516-B,128,76
1006179,37.46037,-121.94291,ang20170618t194516-C,296,183
1006179,37.45825,-121.94126,ang20170618t194516-E,861,451
1006179,37.45972,-121.93707,ang20170618t194516-F,1867,767
1007817,37.18527,-121.66388,ang20170618t200113-A,196,111
7837,37.21585,-121.89715,ang20170618t200113-B,137,70
7837,37.21547,-121.89678,ang20170618t200113-C,103,60
1007817,37.18544,-121.66704,ang20170618t200113-D,44,24
1007817,37.18608,-121.66806,ang20170618t200113-E,40,21
7837,37.21585,-121.89715,ang20170618t201101-A,94,68
7837,37.21408,-121.89743,ang20170618t201101-B,138,79
1007817,37.18486,-121.66479,ang20170618t201101-C,20,13
7837,37.21519,-121.89685,ang20170618t201101-D,129,85
1007817,37.18588,-121.66807,ang20170618t201101-E,66,33
